order_book_id,board_type,sector_code,yield_rate,month,date,VOL5,VOL20,OBOS,RSI10,ACCER,SY,AROON_UP,AROON_DOWN
300441.XSHE,GEM,Industrials,0.039274952396798124,220,2021-07-13,1.8005490872980479,1.4968090768586284,2.0,71.29629629629632,0.006751467710371861,66.66666666666666,85.71428571428571,7.142857142857142
300676.XSHE,GEM,HealthCare,-0.10014005602240894,220,2021-07-13,0.9623887874844094,1.0091749892729682,-2.0,39.619230135057535,0.00036782505522076563,33.33333333333333,21.428571428571427,57.14285714285714
000813.XSHE,MainBoard,HealthCare,0.04705882352941182,220,2021-07-13,0.6211256090860099,0.7875166100073919,-2.0,31.147540983606508,-0.004929971988795572,33.33333333333333,28.57142857142857,85.71428571428571
603297.XSHG,MainBoard,InformationTechnology,0.00311373320222863,220,2021-07-13,2.231222257813839,2.8710189202095764,-6.0,27.74674115456241,-0.0073161024488459,22.22222222222222,7.142857142857142,100.0
603876.XSHG,MainBoard,Materials,0.05147058823529416,220,2021-07-13,3.625083380438355,4.143866425631321,-4.0,29.330065359477132,-0.002569152661064478,33.33333333333333,28.57142857142857,7.142857142857142
600284.XSHG,MainBoard,Industrials,-0.07799442896935926,220,2021-07-13,1.972180166883792,1.6627676046321798,4.0,75.7575757575758,0.0019564929035680296,77.77777777777779,100.0,7.142857142857142
603100.XSHG,MainBoard,InformationTechnology,-0.07893304300489923,220,2021-07-13,1.3433926075949367,1.047571253164557,-2.0,63.57827476038342,0.00871633356663307,44.44444444444444,100.0,71.42857142857143
600835.XSHG,MainBoard,Industrials,-0.018770226537216828,220,2021-07-13,0.5666828062789001,0.4804696639559144,-2.0,31.137724550898287,-0.0023373617123617226,44.44444444444444,21.428571428571427,71.42857142857143
605133.XSHG,MainBoard,ConsumerDiscretionary,-0.05397590361445792,220,2021-07-13,2.6181319999999997,3.16768665137125,0.0,27.31958762886602,-0.00011474469305797216,44.44444444444444,7.142857142857142,85.71428571428571
603439.XSHG,MainBoard,HealthCare,-0.015793251974156375,220,2021-07-13,2.4149742670200958,3.2699154965626342,0.0,45.64564564564563,-0.009879328615868412,44.44444444444444,42.857142857142854,100.0
603823.XSHG,MainBoard,Materials,0.04713375796178365,220,2021-07-13,0.5508183492063492,0.39909503174603167,0.0,68.34862385321098,0.004632999696693889,44.44444444444444,100.0,71.42857142857143
002308.XSHE,MainBoard,InformationTechnology,-0.04275534441805218,220,2021-07-13,0.5518698067347623,0.8111246658959743,0.0,36.111111111111136,-0.00028277344191831894,55.55555555555556,14.285714285714285,85.71428571428571
300404.XSHE,GEM,HealthCare,0.06959999999999988,220,2021-07-13,4.316168410137657,4.175069901312748,-6.0,15.384615384615413,-0.017276190476190466,22.22222222222222,28.57142857142857,85.71428571428571
002536.XSHE,MainBoard,ConsumerDiscretionary,0.06165228113440202,220,2021-07-13,5.054053417048001,6.571616313784753,2.0,60.36036036036032,0.006928542070342357,55.55555555555556,7.142857142857142,50.0
688613.XSHG,KSH,HealthCare,,220,2021-07-13,5.351638558699459,8.393961992499701,-2.0,45.63794983642314,-0.005222346786248025,44.44444444444444,7.142857142857142,85.71428571428571
600976.XSHG,MainBoard,ConsumerStaples,0.040845834086390864,220,2021-07-13,2.4278873384115434,2.688488370917368,-2.0,54.70941883767534,-0.00017643059392575682,33.33333333333333,42.857142857142854,7.142857142857142
002155.XSHE,MainBoard,Materials,0.017521902377972465,220,2021-07-13,1.257259503078324,0.8985331159974862,2.0,69.35483870967741,0.002652124679659057,66.66666666666666,92.85714285714286,35.714285714285715
600257.XSHG,MainBoard,ConsumerStaples,0.0027548209366392573,220,2021-07-13,7.238789201802084,8.950434115245473,2.0,49.180327868852444,0.010527351436442279,66.66666666666666,7.142857142857142,57.14285714285714
603077.XSHG,MainBoard,Materials,0.13824884792626735,220,2021-07-13,3.538133805894465,2.23000908099736,4.0,57.89473684210525,0.0039499670836074755,77.77777777777779,92.85714285714286,14.285714285714285
001965.XSHE,MainBoard,Industrials,0.03744798890429957,220,2021-07-13,0.25769806000757906,0.22147182042053024,0.0,40.00000000000007,-0.00026418334324025,55.55555555555556,21.428571428571427,71.42857142857143
